track_id,track_name,track_artist,track_popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,60,pop,0.742,0.864,0,-5.06,1,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935
7uQWtaM6QwPLVTnw2xEXhw,Dark Beat - Original Murk Mix Radio Edit,Oscar G & Ralph Falcon,34,edm,0.926,0.77,1,-5.714,1,0.0573,0.00339,0.000103,0.12,0.484,127.844,224893
0ziRV8KI48IxSP0E5P9Dh5,Smile - The Magician Remix,Gorgon City,0,latin,0.743,0.8,9,-6.037,0,0.0559,0.0296,0.113,0.0715,0.345,117.023,274793
21W4fTAvuY2FiceLdkUGqM,Don't Remind Me,Damian Dame,3,r&b,0.811,0.913,5,-9.846,0,0.049,0.0162,0.00323,0.0667,0.637,114.114,301533
78RIER8V6EhrqVPOBi2GYa,Here Comes the Rain Again - Remastered Version,Eurythmics,62,pop,0.648,0.755,0,-7.901,1,0.03,0.0141,0.000249,0.225,0.607,126.341,294587
67jtXlxQs82ATZhfdywYJa,Chasing After You,Sam Feldt,5,latin,0.613,0.914,3,-5.511,1,0.0426,0.0055,0.000905,0.0869,0.36,124.974,164885
3r0olzMR8VTqaLYzmigQg3,Touch Me,Deitrick Haddon,17,r&b,0.951,0.606,1,-5.999,1,0.0542,0.0288,1.85e-06,0.0753,0.965,119.999,233173
1iKyjqjWU1rb8NjNjFafRJ,Karibu (Radio Edit),Lago,27,latin,0.811,0.782,3,-8.272,0,0.0502,0.00132,0.513,0.0799,0.862,116.007,210066
609SDGj0txmlAXRrpwee9Y,Llegaste Tú,Luis Fonsi,66,latin,0.768,0.529,1,-6.758,1,0.0405,0.79,0.0,0.2,0.517,119.953,221947
1yBD8MNoNJGajzB5X83p9Z,Hola Beba,Farruko,57,latin,0.747,0.528,6,-8.267,0,0.0527,0.099,0.0,0.0845,0.603,86.964,216320
4YDdWcdzHhLDZ5d1j9nRaJ,Open Your Eyes,Disturbed,55,rock,0.579,0.973,5,-2.152,0,0.09,0.000145,0.0567,0.226,0.677,116.025,237347
3cg2Hduob1KxRe4N56rhuc,Young And Beautiful [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix Radio Edit,Lana Del Rey,36,edm,0.551,0.874,11,-4.559,0,0.0496,0.0427,0.00129,0.396,0.421,125.985,227115
2dRuZopi29Ob4jsxdESrcf,Mike Tyson - Bonustrack,Kurdo,35,rap,0.675,0.705,2,-4.35,0,0.264,0.276,0.0,0.119,0.672,85.064,198400
3MrFdLOtfV8ZnXPHUCy5VV,My Sacrifice - Live Acoustic,Creed,40,latin,0.342,0.489,1,-9.147,1,0.0337,0.58,5.21e-06,0.23,0.348,171.654,286267
3qel23hQWhHT3qGewBQ0pE,Men's Needs,The Cribs,51,rock,0.548,0.94,1,-2.274,0,0.0472,0.000106,6.44e-05,0.0696,0.783,121.994,195698
6OQea06z3cbOqYgG2O6eOZ,Killing Spree,Logic,56,rap,0.856,0.758,1,-5.783,0,0.227,0.0304,0.0,0.105,0.18,124.073,206613
0x6UyfOikAQ7GpiGaYaPey,Ella No Sigue Modas,Juan Magán,45,latin,0.692,0.852,0,-4.587,1,0.0686,0.0093,0.00035,0.0225,0.895,128.026,234000
1AJ8AeP1TFvvCGizmxLyPt,Strangers After,Flight Club,21,rock,0.526,0.794,8,-6.198,1,0.0322,0.0115,0.0364,0.181,0.411,124.004,229603
32PWtlzKyvr3HcvJp1JFF5,Mamacita,OutKast,40,rap,0.494,0.716,1,-6.479,1,0.364,0.0478,0.0,0.353,0.468,168.894,352507
6tByydPskASjm9jTPkNQq0,Numb Numb Juice,ScHoolboy Q,72,rap,0.885,0.492,1,-6.015,1,0.367,0.00172,7.79e-05,0.081,0.203,156.958,107147
2i2zYdN4KCkTCDscdMYr87,Lovers on the Sun (feat. Sam Martin),David Guetta,47,pop,0.645,0.891,6,-2.505,0,0.0387,0.0932,3.88e-06,0.379,0.568,124.915,203520
4e6YIJBmRfCEdzPyhG0RiH,Payaso de rodeo,Caballo Dorado,13,latin,0.683,0.838,2,-9.433,1,0.0358,0.0355,0.00157,0.0627,0.874,115.879,255333
2a9OPIAax8pUKzNZKCxC5L,Electric,Tyler Gilbert,23,rock,0.55,0.962,1,-5.264,1,0.068,0.000112,0.000666,0.294,0.314,95.03,291360
5UUQUFsYJyfF6YwqTnquuA,YDLM,The Griswolds,52,pop,0.826,0.86,10,-3.902,1,0.0685,0.0349,5.37e-06,0.104,0.763,120.017,192107
34ALhvfAPXBgjLZLaHSiLI,GOD'S WITH ME,MIKE,0,rap,0.725,0.69,9,-7.449,0,0.269,0.323,0.0,0.157,0.431,96.045,137560
3Ej9gFp9x29QEpU0TDUueh,Like This (feat. AMY MIYÚ) - Carta Edit,SMACK,49,edm,0.871,0.852,11,-4.958,1,0.0586,0.131,0.00111,0.0923,0.732,126.011,142400
631W6GfTqgZ0YAeoICDcLf,It's Alright,Black Sabbath,0,rock,0.393,0.553,0,-11.574,1,0.0287,0.223,0.000279,0.106,0.479,80.435,239293
3lsGx2tJnbeGeR1U3xYZGS,No Siento Nada,Miky Woodz,48,latin,0.744,0.814,8,-4.922,1,0.0996,0.0807,0.0,0.0491,0.919,172.023,217693
0BryGBaXMKkNapnKtbJJnb,Kannste ma sehn,Baba Saad,26,rap,0.623,0.965,11,-4.686,0,0.263,0.105,0.0,0.0723,0.478,92.54,159009
2ndGRiIuKMco4lBjGasFIm,You,WildVibes,48,edm,0.598,0.762,3,-5.633,1,0.0502,0.182,1.25e-06,0.216,0.142,128.067,263562
77Xr7wLQCoBVzg2rMbCi3C,2 Schüsse in die Luft,Baba Saad,21,rap,0.611,0.676,11,-7.576,1,0.378,0.524,1.71e-05,0.121,0.325,87.078,175750
2HCq3QncPlpbtckYdE2RLv,Medusa,Kollegah,0,rap,0.751,0.853,7,-5.393,1,0.268,0.12,0.0,0.099,0.325,89.02,182040
2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,73,edm,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,283748
0vqV7lfbSZ5QDs9qgw3PKZ,The Return Of The Giant Hogweed - Digital Remastered 2008,Genesis,33,rock,0.405,0.736,8,-8.695,1,0.0396,0.0262,0.0108,0.177,0.5,131.133,489480
64E7c7HdsIbbDWDSGxNJVF,Poppin' Them Thangs,G-Unit,3,rap,0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017,240800
0JIcWmxwEpv740agHLbVB5,Summer Lover (feat. Devin & Nile Rodgers),Oliver Heldens,61,pop,0.689,0.859,10,-4.708,0,0.0281,0.108,0.291,0.14,0.672,119.991,194481
1mxaJVle5gMi28Bjpfuwt8,With You,Foxa,42,latin,0.673,0.856,0,-6.219,1,0.255,0.0409,0.0,0.458,0.453,123.076,181707
1XgpK29CGGjZnxPYkiRbh4,Hey DJ,CNCO,71,latin,0.798,0.809,5,-6.152,1,0.0839,0.0317,0.0,0.214,0.471,90.006,206920
1dcaJ3vOelzh4xYAWiEFbQ,Jackpot,Chico Rose,16,edm,0.643,0.959,2,-4.332,1,0.226,0.00658,0.244,0.293,0.154,128.036,152337
2BstRQGodshjGpeDGQiNgo,Do It Again,Steely Dan,69,rock,0.682,0.537,2,-10.254,0,0.0323,0.218,3.07e-05,0.0556,0.963,124.574,356733
1BTJe38JAhmCvsnX3age5j,Schnapp!,Gzuz,57,rap,0.653,0.625,9,-6.895,1,0.305,0.0647,0.0,0.169,0.509,91.074,167907
1uihSnDxZidO3IMM2hmUBW,Nunca Me Amo,Jon Z,64,rap,0.813,0.787,8,-4.098,0,0.177,0.216,0.0,0.0602,0.451,130.065,199642
2BZTUDdK3BhJvTbxoCHlJ6,Vibe - Myback Original Summerburst Anthem 2015 Extended,John Dahlbäck,0,edm,0.638,0.514,5,-7.253,0,0.0332,0.00151,0.0465,0.0817,0.114,127.999,258749
3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,75,rock,0.536,0.55,10,-6.733,0,0.0248,0.0537,0.0,0.134,0.234,144.018,238560
6Ib6spYstXrIWT8R0jAHoF,For Tonight,Nancy Martinez,30,latin,0.808,0.751,11,-12.246,0,0.059,0.614,0.0158,0.0614,0.911,115.754,250293
3edzl4zvKFi0D3iuF6cs2f,PASS OUT (feat. 21 Savage),Quavo,60,rap,0.917,0.786,11,-4.921,0,0.208,0.0403,0.0,0.195,0.441,143.038,224903
6dazSbGP7uiyr9eowlBkDo,1997,Moo Latte,29,r&b,0.508,0.673,2,-9.221,1,0.545,0.49,0.0108,0.0806,0.552,84.417,187644
3TWfEEzcdrkR0CSvWqyUlX,Kill This Love,BLACKPINK,58,pop,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189040
1VjQClC73gSUPHM0nCmqs5,Quisiera,Natalie Perez,49,latin,0.672,0.745,8,-6.139,1,0.0544,0.624,4.99e-06,0.107,0.766,90.04,234485
7MkFd0UDHlILDrhBjGZH5K,Cántalo,Ricky Martin,72,latin,0.708,0.795,1,-4.71,1,0.116,0.0339,0.0,0.362,0.731,95.039,218996
5lFy4eLLPsaMYNKKbNSXVX,Pharaoh,Helion,28,edm,0.683,0.928,2,-3.928,1,0.0416,0.00246,0.912,0.227,0.255,138.052,160928
49pu85144Xir6PgWjeyJhG,Flor Que Se Cheira - Ao Vivo,Guilherme & Benuto,75,edm,0.68,0.759,2,-5.254,0,0.144,0.637,0.0,0.556,0.797,117.827,161375
3fMKnwiByu9yfeD5ISn9Et,Like I Used To,Tinashe,64,r&b,0.717,0.599,11,-6.156,1,0.115,0.571,8.99e-06,0.102,0.385,159.78,187537
4oHmgneU9dwYoqg0SJSOCf,DADDY ft. CL of 2NE1,PSY,2,edm,0.762,0.87,6,-3.287,0,0.128,0.0788,0.0,0.137,0.753,132.049,230635
66w1iMtSQUJz5dsqJx4QPS,Pyramania,The Alan Parsons Project,34,rock,0.84,0.625,7,-9.301,1,0.0627,0.0347,1.85e-05,0.109,0.669,139.344,162987
32SmDHzbqYRAhX9Jq4gDnT,"No Se De Ella ""My Space""",Don Omar,50,latin,0.815,0.676,9,-9.174,0,0.0934,0.233,0.0237,0.242,0.77,88.008,222600
0F12Vh1or5kJaCZmQH0acA,Come Thru,Sophia Danai,24,r&b,0.617,0.558,7,-6.553,1,0.0464,0.334,0.0153,0.123,0.262,103.987,249195
5FuqMHyesm7ofmkMFYD7eY,Truth Or Dare,Emily Osment,44,pop,0.562,0.747,0,-5.354,0,0.0345,3.79e-05,0.0,0.0858,0.703,137.008,182480
3mIanzjhThM2MCNfoI4hGF,Live Right,Cynthia Jones,3,r&b,0.769,0.384,5,-12.86,0,0.301,0.27,0.0,0.0691,0.652,78.981,260053
1A35w9OSTTVXw3c6tj6AiV,Swagga Like Us - T.I. and Jay-Z feat. Kanye West and Lil' Wayne,T.I.,1,rap,0.58,0.817,4,-5.009,1,0.214,0.00163,0.0,0.118,0.238,89.008,327667
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),Ed Sheeran,85,pop,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867
5qgAvjSTbjkTfICvUMH9WS,Watch Me,Bella Thorne,40,pop,0.713,0.707,0,-4.582,1,0.0715,0.00219,0.0128,0.111,0.638,124.984,175347
4J4fFMrP25pj6uKOyTIpcG,Nobody To Love - Radio Edit,Sigma,0,pop,0.446,0.903,8,-5.404,1,0.0418,0.000484,8.67e-06,0.164,0.169,175.021,185587
7rpyHKSH3dkrsKEgv1eNgv,Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,56,pop,0.63,0.726,0,-3.753,1,0.0978,0.0717,0.0,0.108,0.499,122.055,196475
2lH43POZa4XHxydnZizET5,TTM (feat. Wiz Khalifa & NGHTMRE),PnB Rock,63,r&b,0.786,0.82,6,-3.254,0,0.0587,0.0975,0.0,0.0751,0.597,120.047,212000
0N8gSEgG35cBTf4OV5L7MQ,Reloaded,NIVIRO,11,edm,0.65,0.918,1,-5.341,1,0.113,0.0084,0.207,0.734,0.0979,127.973,173438
4WzhjxvLP95y7AMDy0Atwb,Out Of Love,Alessia Cara,78,pop,0.492,0.267,7,-9.25,1,0.0336,0.8,0.0,0.249,0.137,117.679,227693
2u9vZyQU7Ld88MJ35nS55u,Somebody To Love - 2011 Mix,Queen,44,rock,0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266,296480
1r9RygcEuErbQ5yN5jzlQc,Take It Down (feat. Offset),Pardison Fontaine,44,edm,0.917,0.494,1,-5.772,1,0.085,0.0393,0.0,0.194,0.341,143.048,208976
6fYjH3nS3NRxBRmIXsbDtX,There's Still A Light In The House,Valley,16,pop,0.62,0.655,4,-8.525,1,0.0455,0.024,4.19e-05,0.301,0.335,109.987,203107
37Dric0Lb3Vw7uy3W1o1sv,I SEE,Roc DaGuard,28,r&b,0.83,0.803,1,-6.77,0,0.0887,0.000391,6.32e-06,0.0935,0.565,128.975,146286
6zZJkvtu3N9GhbSQdVzsKT,I Still Love You,Next,36,r&b,0.578,0.447,9,-10.49,0,0.0682,0.506,0.0,0.308,0.783,170.775,254200
4ipnJyDU3Lq15qBAYNqlqK,Mi Gente,J Balvin,73,latin,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,189440
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Sloan,74,r&b,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953,197732
0BLR0gzwIbPJlI5y2BUGYZ,Ghost - Lost Kings Remix,Halsey,1,pop,0.701,0.852,0,-4.908,1,0.0339,0.423,0.00474,0.202,0.433,104.988,189267
7AbeYC9dss7l0YtQz9fWy0,Verrückt,Eisbrecher,55,pop,0.551,0.914,6,-4.53,0,0.0404,6.65e-05,0.0189,0.196,0.624,148.03,201293
7cLm450e9XaPrEZTSTsfwU,it's not u it's me,Bea Miller,71,pop,0.776,0.568,0,-6.419,0,0.125,0.0204,1.69e-05,0.078,0.749,150.901,194526
6xkryXuiZU360Lngd4sx13,Fantasy,Mariah Carey,71,r&b,0.671,0.727,7,-7.585,1,0.035,0.139,0.0,0.123,0.801,102.358,243493
1b7LMtXCXGc2EwOIplI35z,Stuck In The Middle With You,Stealers Wheel,71,rock,0.795,0.564,7,-10.482,1,0.0392,0.0934,0.000531,0.0631,0.961,124.166,203893
3vFbJ2n0sNzZG2HCww0BF9,Pentakill,Neelo,55,rap,0.598,0.809,11,-5.635,1,0.194,0.0655,0.0,0.792,0.593,114.098,230260
4keoy2fqgwGnbWlm3ZVZFa,Happy Now,Zedd,80,pop,0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335,207030
2oIc3yUshnfNpy4NjJFAWO,Anastasy,TheLavish,21,pop,0.699,0.803,8,-3.872,0,0.0438,0.0657,1.02e-05,0.171,0.409,106.025,201509
5TAf4lnZCZTLlZHNZMLFLi,I Try,Macy Gray,71,r&b,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440
0fNfN9BaSpqfp6df7UsyXj,Let's Go Home,Eklo,43,latin,0.683,0.629,1,-7.485,1,0.0466,0.62,0.00206,0.0855,0.716,97.514,188308
65PXViRNbmck0eXI0qhB2G,Somebody to Love,Branches,37,r&b,0.585,0.428,9,-8.077,1,0.0276,0.00561,0.0,0.0703,0.222,127.069,222500
2QsXx7k1no8naCHWPx1DGi,Scream,TV Noise,29,edm,0.649,0.924,1,-3.422,1,0.0557,0.000648,0.299,0.101,0.691,128.02,162656
0QVf7U1E5qxHHill6UnYtE,Adrienne,The Calling,48,rock,0.303,0.878,6,-6.732,1,0.0656,0.000669,0.0,0.07,0.78,184.049,270333
7E6HBa5KEiHyj3FllY4tYv,Pra Vida Inteira,Silva,57,latin,0.673,0.723,7,-6.854,1,0.0669,0.392,3.1e-06,0.333,0.593,99.91,222272
2ZyuwVvV6Z3XJaXIFbspeE,Wild Things,Alessia Cara,64,pop,0.741,0.626,1,-4.826,0,0.0886,0.02,0.0,0.0828,0.706,108.029,188493
4aAAphlKds7AxRJaCOh7Qn,Can't Anybody See,Maha Quest,42,edm,0.687,0.665,5,-8.493,1,0.0445,0.00797,0.936,0.126,0.103,109.995,196370
1tfVIwrfYAwYS9iHuspdaE,Feelings (feat. H.E.R.),Deante' Hitchcock,47,r&b,0.498,0.726,7,-5.7,0,0.175,0.0732,0.0,0.113,0.315,125.128,211920
0nPj7f507HUBm8BCBbv8on,Daydream,Broiler,2,latin,0.709,0.68,11,-7.264,0,0.0383,0.0828,0.0189,0.327,0.333,120.034,236853
2f237byd0A2w0fLlnVDOV4,Patek,Ozuna,75,rap,0.839,0.554,0,-6.124,1,0.181,0.418,0.0,0.0923,0.727,139.952,249733
4sSu9BtWSCWRNjGD2AvqbG,Psycho!,MASE,71,rap,0.868,0.365,7,-9.51,1,0.0383,0.433,0.0,0.207,0.471,114.979,197217
630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,Zac Efron,74,pop,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440
5XBgLpobYbg7odqJz2bmvl,Never Wanna Leave,Max M,45,edm,0.691,0.628,10,-9.567,0,0.0661,0.0419,0.000485,0.136,0.637,126.047,196190
5HOR3skey0qLfiTejqQ7KD,Get Ya Mind Right,Jeezy,0,rap,0.394,0.779,5,-5.926,1,0.376,0.0207,0.0,0.365,0.654,79.335,221240
1mRBJdpIgc3jZH8C3cN2WV,If Only,Dove Cameron,64,pop,0.477,0.6,7,-5.652,1,0.0324,0.271,0.0,0.112,0.29,152.062,229813
1qk9ujVgudgU8CyhKOx8ji,Somebody That I Used To Know,Gotye,63,latin,0.864,0.515,0,-6.967,1,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,244893
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,74,r&b,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920
691aH4q1gTSajAdBLckRey,Quisiera - Unplugged,Pasabordo,37,latin,0.716,0.603,0,-7.576,1,0.322,0.721,0.0,0.234,0.531,144.75,181250
59q0gDvWPoL2DQ1SAt5ZLY,What Up Gangsta,50 Cent,55,rap,0.67,0.788,11,-2.43,0,0.0445,0.00225,0.0,0.11,0.292,82.498,179467
3mJ6pNcFM2CkykCYSREdKT,When I Think Of You,Janet Jackson,49,r&b,0.759,0.639,9,-11.386,1,0.0425,0.084,0.0331,0.0518,0.706,116.207,235493
4Htt3QaBWdLggq88rJI5MU,Inside Out,Five Finger Death Punch,69,rock,0.476,0.991,4,-2.855,0,0.15,0.00191,0.0,0.121,0.202,82.997,226349
2EdT0divbyKeaurz7KgPm1,Remember (with ZOHARA),Gryffin,61,pop,0.619,0.901,11,-4.173,0,0.0563,0.0975,0.0455,0.178,0.503,123.002,221693
2UPXQ1UumX1qBh8COMbo6K,Staring At The Sun,Vanic,46,edm,0.591,0.737,7,-4.925,1,0.0309,0.0314,2.2e-05,0.0987,0.43,105.034,265143
3LcL0BRnO3EgoAn9Y1ljNL,Gravity,Depdramez,30,edm,0.709,0.933,11,-5.117,1,0.167,0.000688,0.271,0.245,0.133,127.993,219375
20feEQvRVHKzBfH9FflFoR,Blinded By The Light (Electro Short Mix),Michael Mind,4,edm,0.717,0.819,9,-9.793,0,0.0481,0.00912,0.169,0.0369,0.713,125.981,184227
1Xf5tZY0WFqH975R8OJL21,Noypi,Bamboo,52,rock,0.536,0.613,2,-5.641,1,0.0306,0.304,0.00602,0.0995,0.298,101.587,268382
13serEEVZ46F2ipeaqWvQu,Shine Your Way,Alan Silvestri,45,pop,0.694,0.443,1,-8.136,1,0.0456,0.00796,0.0,0.0731,0.642,120.019,206080
0avEVorPMJyPPolMbeonBB,A las Cosas por Su Nombre,Violadores Del Verso,49,latin,0.885,0.877,2,-5.269,1,0.171,0.214,1.44e-06,0.116,0.89,91.985,259920
5e0vgBWfwToyphURwynSXa,Run Away With Me,Carly Rae Jepsen,62,pop,0.564,0.719,1,-5.505,1,0.0475,0.0126,0.000177,0.0536,0.251,119.023,251320
1aWpVsNjEiqpFvV3KhJiWu,Infinite,Silverstein,59,rock,0.441,0.868,11,-5.516,0,0.0714,0.000121,2.72e-06,0.145,0.366,162.0,163720
4uKv2XmKAjB4SmtpmxPL4d,Non Stop Never Stop,Harvio,43,latin,0.689,0.637,7,-7.183,1,0.0411,0.153,0.898,0.0542,0.224,113.99,186618
2mbu1ssfb7h1RNO5jBv4cW,I'm Into You,Nick Murphy / Chet Faker,55,pop,0.562,0.68,2,-6.966,0,0.437,0.668,2.88e-06,0.255,0.499,169.28,263693
64HZT0nzA6APXOQ6QONAcn,Young Like This - HEDEGAARD Remix,Hugo Helmig,43,edm,0.625,0.839,11,-4.374,1,0.0379,0.122,0.0,0.193,0.459,142.058,195000
56yBx8FsSMusloE6IiaLDR,Megalodon - Original Mix Edit,KSHMR,0,edm,0.262,0.941,1,-3.409,1,0.0867,0.0139,0.833,0.233,0.141,191.983,183984
6jgzgPDb0etlzxEZV12EmY,Hustle,MiyaGi & Endspiel,51,rap,0.6,0.757,1,-7.666,1,0.135,0.0335,0.000165,0.296,0.443,73.061,223665
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,pop,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323
6JI5wNWYdBw68GZjOMmgK5,Put It On,Big L,61,rap,0.711,0.62,11,-10.174,0,0.212,0.0175,0.0,0.134,0.805,179.817,217627
7eXbrGTzY8wOtWnphDmF1t,Startede Sammen,Gobs,54,rap,0.633,0.584,6,-7.124,1,0.0483,0.421,0.0,0.166,0.54,122.78,162711
3GbgDxpsb0uydqD8haxjwn,Black Hearted Woman,The Allman Brothers Band,0,rock,0.582,0.853,7,-10.755,1,0.0663,0.496,0.538,0.697,0.775,110.268,316173
46T7puWlH8ptC6lx7bQ3TY,Let Me Die,Lil Happy Lil Sad,66,rap,0.503,0.37,11,-17.502,1,0.0489,0.768,0.599,0.116,0.102,78.963,218776
1nYj5Hv2ON80QokibDMvOE,Louboutin,Frenna,58,latin,0.759,0.625,7,-7.933,1,0.191,0.121,0.0,0.0888,0.626,120.112,185834
3MODES4TNtygekLl146Dxd,Ramble On - 1990 Remaster,Led Zeppelin,70,rock,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,263333
4SPUVPV2Db8B5xDaFWg9rD,Now That You're Gone,Kavv,61,rap,0.819,0.289,5,-9.791,0,0.417,0.935,0.918,0.101,0.371,85.02,120004
3BCDmMe7Kw2xEskxpVn2uF,No Hay Falla,TREN LOKOTE,37,rap,0.779,0.66,4,-7.697,0,0.329,0.227,0.0,0.248,0.942,165.983,409287
397gYrJRNvdMnQdPQtSeG3,Can't Get Enough,Lookas,41,edm,0.605,0.969,5,-1.88,0,0.118,0.0156,0.433,0.271,0.403,150.119,230400
7ikrFGfSscvwV42tZKUl29,Everything's Gonna Be Alright,Mike Mains & The Branches,35,pop,0.683,0.813,5,-4.729,1,0.0357,0.0427,7.12e-06,0.0945,0.723,109.997,160987
1geAoz2QzafYdcLYTTlCzB,Pursuit of Happiness,Honeybucket,37,r&b,0.762,0.671,2,-6.071,1,0.0301,0.0705,0.0,0.178,0.949,114.013,213120
62XCV3AmCMkPa9X5mCim8O,All ‘Bout The Money,FAULHABER,51,pop,0.721,0.779,6,-4.239,0,0.0606,0.142,0.0,0.143,0.327,110.026,169964
7laPt9sVrlXLK80PoQf05p,OdeToYou,Flitz&Suppe,52,pop,0.673,0.356,3,-10.683,0,0.0365,0.503,0.814,0.111,0.145,81.008,181481
5m1NC5p6ZsxgpQU7M1pHmT,Heavyweight,RedMoon,0,edm,0.55,0.704,8,-6.426,1,0.0592,0.0617,0.0,0.152,0.226,128.049,196904
36xEjbl8DtevPJgw6i9IuY,Feels like the First Time - 2008 Remaster,Foreigner,52,rock,0.499,0.802,7,-4.537,1,0.0547,0.0136,1.56e-06,0.128,0.504,107.705,232333
2630iKSCt6XZQS6npExkfK,God Said Trap (King Trappy III),IDK,0,r&b,0.811,0.59,4,-5.666,1,0.0964,0.0595,0.0,0.161,0.394,120.046,261630
0z8yrlXSjnI29Rv30RssNI,Shots - Broiler Remix,Imagine Dragons,15,pop,0.733,0.777,11,-7.076,0,0.0347,0.436,0.0716,0.102,0.583,119.996,190999
0FM0FUcs3KpF4BIEv5jYNg,Sometimes,MARTIN $KY,55,rap,0.499,0.223,6,-14.612,0,0.202,0.813,0.952,0.143,0.47,68.725,160580
0V7AVcMTaQqLKzxVloxWHj,Don't Try Suicide - Remastered 2011,Queen,44,rock,0.796,0.486,7,-7.543,1,0.2,0.338,0.0,0.0314,0.646,135.249,232120
5l3P6VVTsfWGvdH4xVSeHK,Supa Dupa Fly 2018,W&W,51,edm,0.635,0.98,4,-4.547,1,0.117,0.00221,0.664,0.266,0.44,130.046,172615
0c6SqvH32BMgbEFvpHc2gs,Let Her Go,The Kid LAROI,70,rap,0.763,0.542,3,-6.753,0,0.148,0.639,0.0,0.113,0.504,142.031,122113
3nXxENgerStJd7S7fx9RzC,Entre Tu y Yo,Don Omar,0,latin,0.828,0.535,1,-12.982,0,0.191,0.0295,3.61e-05,0.346,0.662,94.983,184147
